Sample number,Total handshake duration (s),Total handshake packets,Total handshake size (B),Time MasterInformationBlock (s),Time SIB1 (s),Time SIB2 SIB3 (s),Time RRCConnectionRequest (s),Time RRCConnectionSetup (s),Time RRCConnectionSetupComplete (s),Size MasterInformationBlock (B),Size SIB1 (B),Size SIB2 SIB3 (B),Size RRCConnectionRequest (B),Size RRCConnectionSetup (B),Size RRCConnectionSetupComplete (B),
663,1.136044979095459,7,582,0.0,0.09696817398071289,1.0684611797332764,1.0928971767425537,1.1064600944519043,1.136044979095459,37,127,75,41,66,191,
664,1.1916608810424805,7,582,0.0,0.09473085403442383,1.1228270530700684,1.1473908424377441,1.1611359119415283,1.1916608810424805,37,127,75,41,66,191,
665,1.2286579608917236,7,582,0.0,0.09699583053588867,1.160120964050293,1.1844120025634766,1.1982359886169434,1.2286579608917236,37,127,75,41,66,191,
666,1.23036789894104,7,582,0.0,0.0952918529510498,1.1634109020233154,1.1874990463256836,1.2011349201202393,1.23036789894104,37,127,75,41,66,191,
667,1.123016119003296,7,582,0.0,0.09719705581665039,1.0546979904174805,1.0791940689086914,1.0929341316223145,1.123016119003296,37,127,75,41,66,191,
668,1.1848959922790527,7,582,0.0,0.09720706939697266,1.1173419952392578,1.1416280269622803,1.1551780700683594,1.1848959922790527,37,127,75,41,66,191,
669,1.2494149208068848,7,582,0.0,0.09726190567016602,1.1797239780426025,1.2040290832519531,1.2180531024932861,1.2494149208068848,37,127,75,41,66,191,
670,1.1708319187164307,7,582,0.0,0.0962979793548584,1.1014208793640137,1.125809907913208,1.1396949291229248,1.1708319187164307,37,127,75,41,66,191,
671,1.2024409770965576,7,582,0.0,0.0963599681854248,1.1339788436889648,1.158437967300415,1.172306776046753,1.2024409770965576,37,127,75,41,66,191,
672,1.241297960281372,7,582,0.0,0.09663105010986328,1.1732430458068848,1.1974449157714844,1.2113099098205566,1.241297960281372,37,127,75,41,66,191,
673,1.233001947402954,7,582,0.0,0.0958700180053711,1.1646568775177002,1.189291000366211,1.20294189453125,1.233001947402954,37,127,75,41,66,191,
674,1.2003660202026367,7,582,0.0,0.0923299789428711,1.137282133102417,1.159466028213501,1.1722221374511719,1.2003660202026367,37,127,75,41,66,191,
675,1.1546380519866943,7,582,0.0,0.09607100486755371,1.0858440399169922,1.1103429794311523,1.1241669654846191,1.1546380519866943,37,127,75,41,66,191,
676,1.202138900756836,7,582,0.0,0.09310197830200195,1.1334919929504395,1.1577739715576172,1.1717259883880615,1.202138900756836,37,127,75,41,66,191,
677,1.240260124206543,7,582,0.0,0.0965111255645752,1.171781063079834,1.1958200931549072,1.2097179889678955,1.240260124206543,37,127,75,41,66,191,
678,1.2363629341125488,7,582,0.0,0.09739804267883301,1.1680920124053955,1.1923460960388184,1.206207036972046,1.2363629341125488,37,127,75,41,66,191,
679,1.2642390727996826,7,582,0.0,0.0972599983215332,1.1971311569213867,1.2212769985198975,1.2345709800720215,1.2642390727996826,37,127,75,41,66,191,
680,1.1907570362091064,7,582,0.0,0.09643888473510742,1.1219840049743652,1.1459078788757324,1.1596128940582275,1.1907570362091064,37,127,75,41,66,191,
681,1.1295011043548584,7,582,0.0,0.09567499160766602,1.0611481666564941,1.0852479934692383,1.0991270542144775,1.1295011043548584,37,127,75,41,66,191,
682,1.1792500019073486,7,582,0.0,0.09501886367797852,1.1115899085998535,1.135610818862915,1.1492249965667725,1.1792500019073486,37,127,75,41,66,191,
683,1.2000041007995605,7,582,0.0,0.09694099426269531,1.131422996520996,1.1556520462036133,1.1694810390472412,1.2000041007995605,37,127,75,41,66,191,
684,1.3141369819641113,7,582,0.0,0.09674906730651855,1.2443199157714844,1.2691600322723389,1.283324956893921,1.3141369819641113,37,127,75,41,66,191,
685,1.1375501155853271,7,582,0.0,0.09581208229064941,1.0684771537780762,1.0931041240692139,1.1080901622772217,1.1375501155853271,37,127,75,41,66,191,
686,1.1985509395599365,7,582,0.0,0.09214615821838379,1.1321799755096436,1.1556639671325684,1.1689770221710205,1.1985509395599365,37,127,75,41,66,191,
687,1.2122688293457031,7,582,0.0,0.09577083587646484,1.1438288688659668,1.1681098937988281,1.1818280220031738,1.2122688293457031,37,127,75,41,66,191,
688,1.2294011116027832,7,582,0.0,0.09523415565490723,1.1618261337280273,1.185817003250122,1.199404001235962,1.2294011116027832,37,127,75,41,66,191,
689,1.2125828266143799,7,582,0.0,0.09593892097473145,1.1440229415893555,1.1685798168182373,1.1832489967346191,1.2125828266143799,37,127,75,41,66,191,
690,1.2106571197509766,7,582,0.0,0.09819507598876953,1.1427271366119385,1.1668851375579834,1.1809520721435547,1.2106571197509766,37,127,75,41,66,191,
691,1.2180089950561523,7,582,0.0,0.09743404388427734,1.1501028537750244,1.1744279861450195,1.1881248950958252,1.2180089950561523,37,127,75,41,66,191,
692,1.2085490226745605,7,582,0.0,0.09518909454345703,1.1402020454406738,1.1642160415649414,1.1782550811767578,1.2085490226745605,37,127,75,41,66,191,
693,1.205406904220581,7,582,0.0,0.09742903709411621,1.1365759372711182,1.1609280109405518,1.174973964691162,1.205406904220581,37,127,75,41,66,191,
694,1.1894621849060059,7,582,0.0,0.09692001342773438,1.1215012073516846,1.1457831859588623,1.1595230102539062,1.1894621849060059,37,127,75,41,66,191,
695,1.1816198825836182,7,582,0.0,0.09476208686828613,1.1138019561767578,1.1379458904266357,1.1514530181884766,1.1816198825836182,37,127,75,41,66,191,
696,1.1857571601867676,7,582,0.0,0.09414505958557129,1.11708402633667,1.1413991451263428,1.155318021774292,1.1857571601867676,37,127,75,41,66,191,
697,1.1771700382232666,7,582,0.0,0.0987100601196289,1.1088690757751465,1.1331121921539307,1.146902084350586,1.1771700382232666,37,127,75,41,66,191,
698,1.139876127243042,7,582,0.0,0.09823918342590332,1.070815086364746,1.095654010772705,1.1096351146697998,1.139876127243042,37,127,75,41,66,191,
699,1.146481990814209,7,582,0.0,0.09256100654602051,1.0831239223480225,1.1056108474731445,1.1184358596801758,1.146481990814209,37,127,75,41,66,191,
700,1.2093191146850586,7,582,0.0,0.09654498100280762,1.1411941051483154,1.1651630401611328,1.180314064025879,1.2093191146850586,37,127,75,41,66,191,
701,1.1580619812011719,7,582,0.0,0.09520411491394043,1.0908019542694092,1.1149160861968994,1.1283299922943115,1.1580619812011719,37,127,75,41,66,191,
702,1.1399810314178467,7,582,0.0,0.09808897972106934,1.0716280937194824,1.0959630012512207,1.1098761558532715,1.1399810314178467,37,127,75,41,66,191,
703,1.234941005706787,7,582,0.0,0.0960550308227539,1.1659541130065918,1.1903791427612305,1.2044200897216797,1.234941005706787,37,127,75,41,66,191,
704,1.224337100982666,7,582,0.0,0.09700322151184082,1.156374216079712,1.1808390617370605,1.1947200298309326,1.224337100982666,37,127,75,41,66,191,
705,1.2247729301452637,7,582,0.0,0.09636092185974121,1.157135009765625,1.1810369491577148,1.1944859027862549,1.2247729301452637,37,127,75,41,66,191,
706,1.228288173675537,7,582,0.0,0.09567809104919434,1.1593542098999023,1.1839861869812012,1.1980640888214111,1.228288173675537,37,127,75,41,66,191,
707,1.1655890941619873,7,582,0.0,0.09751105308532715,1.097675085067749,1.1221539974212646,1.1356749534606934,1.1655890941619873,37,127,75,41,66,191,
708,1.2074549198150635,7,582,0.0,0.09672904014587402,1.1397919654846191,1.1643340587615967,1.1792199611663818,1.2074549198150635,37,127,75,41,66,191,
709,1.2392899990081787,7,582,0.0,0.09589385986328125,1.1714370250701904,1.1956770420074463,1.2095129489898682,1.2392899990081787,37,127,75,41,66,191,
710,1.2250430583953857,7,582,0.0,0.09486699104309082,1.1565020084381104,1.1807949542999268,1.1948521137237549,1.2250430583953857,37,127,75,41,66,191,
711,1.2181811332702637,7,582,0.0,0.09632706642150879,1.150442123413086,1.1747791767120361,1.1885781288146973,1.2181811332702637,37,127,75,41,66,191,
712,1.2157471179962158,7,582,0.0,0.09659004211425781,1.147705078125,1.1716539859771729,1.1853671073913574,1.2157471179962158,37,127,75,41,66,191,
713,1.202652931213379,7,582,0.0,0.09637784957885742,1.135653018951416,1.1592910289764404,1.1728498935699463,1.202652931213379,37,127,75,41,66,191,
714,1.2009878158569336,7,582,0.0,0.09709286689758301,1.1327228546142578,1.156965970993042,1.1707568168640137,1.2009878158569336,37,127,75,41,66,191,
715,1.1989920139312744,7,582,0.0,0.09557199478149414,1.1302330493927002,1.1547300815582275,1.1686069965362549,1.1989920139312744,37,127,75,41,66,191,
716,1.135840892791748,7,582,0.0,0.09705209732055664,1.066849946975708,1.0915579795837402,1.1055290699005127,1.135840892791748,37,127,75,41,66,191,
717,1.1253578662872314,7,582,0.0,0.09690999984741211,1.0562667846679688,1.080880880355835,1.0949149131774902,1.1253578662872314,37,127,75,41,66,191,
718,1.1360969543457031,7,582,0.0,0.09628582000732422,1.066565990447998,1.0922038555145264,1.1058590412139893,1.1360969543457031,37,127,75,41,66,191,
719,1.1632959842681885,7,582,0.0,0.09471392631530762,1.0952861309051514,1.1192240715026855,1.1333250999450684,1.1632959842681885,37,127,75,41,66,191,
720,1.121056079864502,7,582,0.0,0.09569001197814941,1.052225112915039,1.0766079425811768,1.0904629230499268,1.121056079864502,37,127,75,41,66,191,
721,1.1758849620819092,7,582,0.0,0.09641885757446289,1.1067609786987305,1.1311659812927246,1.1454319953918457,1.1758849620819092,37,127,75,41,66,191,
722,1.1739211082458496,7,582,0.0,0.09517502784729004,1.1054120063781738,1.1298010349273682,1.14382004737854,1.1739211082458496,37,127,75,41,66,191,
723,1.1705570220947266,7,582,0.0,0.09683799743652344,1.10335111618042,1.1267459392547607,1.1402769088745117,1.1705570220947266,37,127,75,41,66,191,
724,1.1694438457489014,7,582,0.0,0.09640288352966309,1.1013169288635254,1.1256229877471924,1.1393628120422363,1.1694438457489014,37,127,75,41,66,191,
725,1.1108770370483398,7,582,0.0,0.09256792068481445,1.0442538261413574,1.0674538612365723,1.0809400081634521,1.1108770370483398,37,127,75,41,66,191,
726,1.1722118854522705,7,582,0.0,0.09723591804504395,1.103738784790039,1.128037929534912,1.1420528888702393,1.1722118854522705,37,127,75,41,66,191,
727,1.1700258255004883,7,582,0.0,0.09653878211975098,1.1004929542541504,1.1258668899536133,1.1396939754486084,1.1700258255004883,37,127,75,41,66,191,
728,1.168330192565918,7,582,0.0,0.09243607521057129,1.1052792072296143,1.1274361610412598,1.140078067779541,1.168330192565918,37,127,75,41,66,191,
729,1.246938943862915,7,582,0.0,0.09719395637512207,1.1794490814208984,1.2039480209350586,1.217405080795288,1.246938943862915,37,127,75,41,66,191,
730,1.2707619667053223,7,582,0.0,0.0971529483795166,1.20210599899292,1.2265338897705078,1.2406020164489746,1.2707619667053223,37,127,75,41,66,191,
731,1.1996700763702393,7,582,0.0,0.0977029800415039,1.130876064300537,1.1554970741271973,1.1693918704986572,1.1996700763702393,37,127,75,41,66,191,
732,1.1879558563232422,7,582,0.0,0.09383082389831543,1.119262933731079,1.1434168815612793,1.1572530269622803,1.1879558563232422,37,127,75,41,66,191,
733,1.222369909286499,7,582,0.0,0.09577393531799316,1.154526948928833,1.1782150268554688,1.1922938823699951,1.222369909286499,37,127,75,41,66,191,
734,1.1751909255981445,7,582,0.0,0.09742093086242676,1.1064059734344482,1.131032943725586,1.1449689865112305,1.1751909255981445,37,127,75,41,66,191,
735,1.2049379348754883,7,582,0.0,0.09618902206420898,1.1359200477600098,1.1602320671081543,1.1741180419921875,1.2049379348754883,37,127,75,41,66,191,
736,1.237381935119629,7,582,0.0,0.09646892547607422,1.1685168743133545,1.1928389072418213,1.2069289684295654,1.237381935119629,37,127,75,41,66,191,
737,1.236577033996582,7,582,0.0,0.09710502624511719,1.1692790985107422,1.1934809684753418,1.2069549560546875,1.236577033996582,37,127,75,41,66,191,
738,1.1893360614776611,7,582,0.0,0.09613895416259766,1.1205039024353027,1.1450819969177246,1.1590750217437744,1.1893360614776611,37,127,75,41,66,191,
739,1.1582651138305664,7,582,0.0,0.09624218940734863,1.0904011726379395,1.1145641803741455,1.1283972263336182,1.1582651138305664,37,127,75,41,66,191,
